epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5853750109672546,1.4616328477859497,0.5774290561676025,0.6273821592330933,0.6320000290870667,4.590640068054199,0.7300000190734863,0.4328063130378723
1,0.7083749771118164,2.9457616806030273,0.7350184321403503,0.6489468216896057,0.6455000042915344,4.562669277191162,0.764397919178009,0.4328063130378723
2,0.7068750262260437,3.317352294921875,0.7640630006790161,0.5960381031036377,0.6710000038146973,3.398106575012207,0.7087264060974121,0.5938735008239746
3,0.6916249990463257,3.0291683673858643,0.7144065499305725,0.6354061961174011,0.6669999957084656,3.1174824237823486,0.6852248311042786,0.6324110627174377
4,0.6693750023841858,2.018669366836548,0.6438825726509094,0.7535105347633362,0.6234999895095825,1.4627597332000732,0.5860465168952942,0.8715415000915527
5,0.6881250143051147,1.9653565883636475,0.6562042236328125,0.7863590717315674,0.6575000286102295,3.06632924079895,0.669079601764679,0.6393280625343323
6,0.7066249847412109,2.6150057315826416,0.7095785737037659,0.6965897679328918,0.6765000224113464,3.1321048736572266,0.6998904943466187,0.6314229369163513
7,0.6756250262260437,2.7835512161254883,0.691926121711731,0.6296389102935791,0.5235000252723694,0.8134578466415405,0.5165081024169922,0.9120553135871887
8,0.6881250143051147,2.219977617263794,0.6710194945335388,0.7344533801078796,0.6464999914169312,3.6095540523529053,0.6817640066146851,0.5652173757553101
9,0.6826249957084656,3.524744987487793,0.733936071395874,0.5699598789215088,0.6299999952316284,4.676450252532959,0.7344827651977539,0.4209486246109009
10,0.7322499752044678,1.822510004043579,0.7922735810279846,0.6273821592330933,0.7235000133514404,1.0621553659439087,0.848254919052124,0.5523715615272522
11,0.8314999938011169,0.4798438251018524,0.85579514503479,0.7961384057998657,0.746999979019165,0.8427092432975769,0.8070388436317444,0.6571146249771118
12,0.8926249742507935,0.323634535074234,0.9139984250068665,0.8660982847213745,0.7540000081062317,0.7928789854049683,0.7795698642730713,0.7164031863212585
13,0.8981249928474426,0.30059248208999634,0.8971214294433594,0.8986960649490356,0.7544999718666077,0.826629102230072,0.7546432018280029,0.7628458738327026
14,0.9367499947547913,0.2179172784090042,0.9441326260566711,0.9280341267585754,0.7580000162124634,0.9104377627372742,0.7661290168762207,0.7509881258010864
